election_year,borough,ward,candidate,party,party_normalised,votes,elected,seat_position,ward_total_votes,vote_share_pct,rank_in_ward,winning_party,winning_margin,turnout_pct,verified_ballots,rejected_ballots,party_colour,source_url,data_status,previous_election_swing,geo_reference
2026,Greenwich,Plumstead and Glyndon,KHAIREH Adel,Labour and Co-operative Party,Labour Party,1591,True,Elected,4960,32.08,3,Labour Party,149,37.1,4507,,#E4003B,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Shooters Hill,RHYMES Tamasin,Green Party,Green Party,1569,True,Elected,3052,51.41,1,Green Party,86,43.4,3406,,#02A95B,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Shooters Hill,GREEN Max,Green Party,Green Party,1483,True,Elected,3052,48.59,2,Green Party,86,43.4,3406,,#02A95B,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Thamesmead Moorings,CORNISH Tinu,Green Party,Green Party,477,False,Not Elected,4820,9.9,5,Labour Party,16,32.1,2532,,#02A95B,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Thamesmead Moorings,CROWHURST Keith,Green Party,Green Party,412,False,Not Elected,4820,8.55,6,Labour Party,16,32.1,2532,,#02A95B,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Thamesmead Moorings,DAVIES Jill Evelyn,Reform UK,Reform UK,537,False,Not Elected,4820,11.14,3,Labour Party,16,32.1,2532,,#12B6CF,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Thamesmead Moorings,LEKAU Averil Ann,Labour and Co-operative Party,Labour Party,1186,True,Elected,4820,24.61,2,Labour Party,16,32.1,2532,,#E4003B,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Thamesmead Moorings,MCCLELLAND Fergus French,Reform UK,Reform UK,486,False,Not Elected,4820,10.08,4,Labour Party,16,32.1,2532,,#12B6CF,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Thamesmead Moorings,MORRIS Diane,Local Conservatives,Conservative Party,204,False,Not Elected,4820,4.23,7,Labour Party,16,32.1,2532,,#0087DC,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Thamesmead Moorings,O`CONNOR Rhian,Liberal Democrats,Liberal Democrats,89,False,Not Elected,4820,1.85,9,Labour Party,16,32.1,2532,,#FAA61A,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Thamesmead Moorings,SOLOLA Femi,Labour and Co-operative Party,Labour Party,1202,True,Elected,4820,24.94,1,Labour Party,16,32.1,2532,,#E4003B,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Thamesmead Moorings,SYMES Philip,Liberal Democrats,Liberal Democrats,66,False,Not Elected,4820,1.37,10,Labour Party,16,32.1,2532,,#FAA61A,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Thamesmead Moorings,WORRON James,Local Conservatives,Conservative Party,161,False,Not Elected,4820,3.34,8,Labour Party,16,32.1,2532,,#0087DC,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,West Thamesmead,BAFFOUR-AWUAH Nathan,Labour Party,Labour Party,718,True,Elected,1307,54.93,1,Labour Party,129,30.3,2081,,#E4003B,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,West Thamesmead,SPENCER Jahdia,Labour Party,Labour Party,589,True,Elected,1307,45.07,2,Labour Party,129,30.3,2081,,#E4003B,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Arsenal,AYODELE Joshua,Labour and Co-operative Party,Labour Party,1249,True,Elected,9458,13.21,1,Labour Party,146,36.9,3257,,#E4003B,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Arsenal,BOWERS Alex,Reform UK,Reform UK,411,False,Not Elected,9458,4.35,8,Labour Party,146,36.9,3257,,#12B6CF,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Arsenal,BROWN Paul,Local Conservatives,Conservative Party,417,False,Not Elected,9458,4.41,7,Labour Party,146,36.9,3257,,#0087DC,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Arsenal,BUDDEN Nathan,Green Party,Green Party,1023,False,Not Elected,9458,10.82,4,Labour Party,146,36.9,3257,,#02A95B,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Arsenal,DAVIS Aileen,Local Conservatives,Conservative Party,345,False,Not Elected,9458,3.65,11,Labour Party,146,36.9,3257,,#0087DC,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Arsenal,JANODY Karen,Green Party,Green Party,976,False,Not Elected,9458,10.32,5,Labour Party,146,36.9,3257,,#02A95B,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Arsenal,KALIA Sangeeta,Green Party,Green Party,967,False,Not Elected,9458,10.22,6,Labour Party,146,36.9,3257,,#02A95B,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Arsenal,KELLY Tricia,Reform UK,Reform UK,386,False,Not Elected,9458,4.08,9,Labour Party,146,36.9,3257,,#12B6CF,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Arsenal,LITTLEWOOD Sam,Labour and Co-operative Party,Labour Party,1103,True,Elected,9458,11.66,2,Labour Party,146,36.9,3257,,#E4003B,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Arsenal,LOCK Andrew,Liberal Democrats,Liberal Democrats,295,False,Not Elected,9458,3.12,13,Labour Party,146,36.9,3257,,#FAA61A,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Arsenal,MOORES Michaela,Liberal Democrats,Liberal Democrats,283,False,Not Elected,9458,2.99,14,Labour Party,146,36.9,3257,,#FAA61A,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Arsenal,NWABUDIKE Anthony Ikedife,Reform UK,Reform UK,350,False,Not Elected,9458,3.7,10,Labour Party,146,36.9,3257,,#12B6CF,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Arsenal,O`LEARY Hugh,Local Conservatives,Conservative Party,343,False,Not Elected,9458,3.63,12,Labour Party,146,36.9,3257,,#0087DC,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Arsenal,PERERA-DELCOURT Ramesh,Liberal Democrats,Liberal Democrats,238,False,Not Elected,9458,2.52,15,Labour Party,146,36.9,3257,,#FAA61A,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Arsenal,SMITH Jackie,Labour and Co-operative Party,Labour Party,1072,True,Elected,9458,11.33,3,Labour Party,146,36.9,3257,,#E4003B,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Common,ABBATE Ulysse,Liberal Democrats,Liberal Democrats,139,False,Not Elected,4907,2.83,10,Labour Party,24,31.8,2560,,#FAA61A,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Common,CECIL Alan,Reform UK,Reform UK,317,False,Not Elected,4907,6.46,6,Labour Party,24,31.8,2560,,#12B6CF,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Common,GARDINER Kirsty,Green Party,Green Party,808,False,Not Elected,4907,16.47,3,Labour Party,24,31.8,2560,,#02A95B,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Common,GLINSMAN Matthew,Liberal Democrats,Liberal Democrats,146,False,Not Elected,4907,2.98,9,Labour Party,24,31.8,2560,,#FAA61A,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Common,IGE Elizabeth,Labour and Co-operative Party,Labour Party,1056,True,Elected,4907,21.52,1,Labour Party,24,31.8,2560,,#E4003B,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Common,LONGHURST Sem,Green Party,Green Party,666,False,Not Elected,4907,13.57,4,Labour Party,24,31.8,2560,,#02A95B,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Common,MAYNE Selina Joyce,Reform UK,Reform UK,341,False,Not Elected,4907,6.95,5,Labour Party,24,31.8,2560,,#12B6CF,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Common,MORRIS Jonathan,Local Conservatives,Conservative Party,208,False,Not Elected,4907,4.24,7,Labour Party,24,31.8,2560,,#0087DC,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Common,OKEREKE Anthony,Labour and Co-operative Party,Labour Party,1032,True,Elected,4907,21.03,2,Labour Party,24,31.8,2560,,#E4003B,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Common,WILSON Victoria,Local Conservatives,Conservative Party,194,False,Not Elected,4907,3.95,8,Labour Party,24,31.8,2560,,#0087DC,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Dockyard,MOHAMMED Asli,Labour and Co-operative Party,Labour Party,1082,True,Elected,2054,52.68,1,Labour Party,110,35.9,2748,,#E4003B,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
2026,Greenwich,Woolwich Dockyard,ZEESHAN Raja,Labour and Co-operative Party,Labour Party,972,True,Elected,2054,47.32,2,Labour Party,110,35.9,2748,,#E4003B,https://www.royalgreenwich.gov.uk/council-and-elections/elections-and-voting/2026-local-elections-results,official_declared,,
