election_year,borough,ward,candidate,party,votes,elected,ward_total_votes,vote_share_pct,rank_in_ward,seat_position,party_colour,winning_party,winning_margin,turnout_pct,rejected_ballots,previous_election_swing,geo_reference,electorate,seats_available,data_status,source_url
2026,Redbridge,Barkingside,Saravanan Muthusamy,Local Conservatives,,,,,,Pending count,#0087DC,,,45.16,,,,11126,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Barkingside,Martin Sachs,Labour Party,,,,,,Pending count,#E4003B,,,45.16,,,,11126,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Barkingside,W Thomas Thambipillai,Reform UK,,,,,,Pending count,#12B6CF,,,45.16,,,,11126,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Bridge,Stephen Adams,Conservative Party,,,,,,Pending count,#0087DC,,,45.5,,,,9653,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Bridge,Misba Ahmed,Labour Party,,,,,,Pending count,#E4003B,,,45.5,,,,9653,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Bridge,Richard Ernest Andrews,Green Party Candidate,,,,,,Pending count,#02A95B,,,45.5,,,,9653,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Bridge,Gurdial Singh Bhamra,Labour Party,,,,,,Pending count,#E4003B,,,45.5,,,,9653,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Bridge,Jesmin Chowdhury,Labour Party,,,,,,Pending count,#E4003B,,,45.5,,,,9653,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Bridge,Rachel Collinson,Green Party Candidate,,,,,,Pending count,#02A95B,,,45.5,,,,9653,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Bridge,Adam Joiner,Conservative Party,,,,,,Pending count,#0087DC,,,45.5,,,,9653,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Bridge,Thomas Jose,Reform UK,,,,,,Pending count,#12B6CF,,,45.5,,,,9653,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Bridge,Joe Iain McIntosh,Green Party Candidate,,,,,,Pending count,#02A95B,,,45.5,,,,9653,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Bridge,Josiah Moseley,Conservative Party,,,,,,Pending count,#0087DC,,,45.5,,,,9653,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Bridge,Dilip Padipurakalathi,Liberal Democrats,,,,,,Pending count,#FAA61A,,,45.5,,,,9653,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Bridge,Stuart David Shulton,Reform UK,,,,,,Pending count,#12B6CF,,,45.5,,,,9653,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Bridge,Rakesh Vasis,Reform UK,,,,,,Pending count,#12B6CF,,,45.5,,,,9653,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Chadwell,Muhammad Touseef Afzal,Redbridge Independents,,,,,,Pending count,#7C3AED,,,38.81,,,,11275,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Chadwell,Waz Akram,Reform UK,,,,,,Pending count,#12B6CF,,,38.81,,,,11275,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Chadwell,Shamima Aktar,Redbridge Matters,,,,,,Pending count,#EC4899,,,38.81,,,,11275,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Chadwell,Niamh Victoria Atkins,Green Party Candidate,,,,,,Pending count,#02A95B,,,38.81,,,,11275,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Chadwell,Shirley Baah-Mensah,Conservative Party,,,,,,Pending count,#0087DC,,,38.81,,,,11275,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Chadwell,Arakoth Ahmed Chowdhury,Redbridge Independents,,,,,,Pending count,#7C3AED,,,38.81,,,,11275,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Chadwell,Bert Alexander Jones,Labour Party,,,,,,Pending count,#E4003B,,,38.81,,,,11275,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Chadwell,Monis Khan,Conservative Party,,,,,,Pending count,#0087DC,,,38.81,,,,11275,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Chadwell,Aba Kristilolu,Redbridge Independents,,,,,,Pending count,#7C3AED,,,38.81,,,,11275,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Chadwell,Muhammad Abdul Hakim Layek,Labour Party,,,,,,Pending count,#E4003B,,,38.81,,,,11275,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Chadwell,Ahmed Maruf,Redbridge Matters,,,,,,Pending count,#EC4899,,,38.81,,,,11275,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Chadwell,Prince Nnaemeka Nwankwo,Green Party Candidate,,,,,,Pending count,#02A95B,,,38.81,,,,11275,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Chadwell,Sagal Abshir Osman,Liberal Democrats,,,,,,Pending count,#FAA61A,,,38.81,,,,11275,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Chadwell,Maximillian Phoenix,Reform UK,,,,,,Pending count,#12B6CF,,,38.81,,,,11275,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Chadwell,Luthfa Rahman,Labour Party,,,,,,Pending count,#E4003B,,,38.81,,,,11275,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Chadwell,Syed Eyamen Siddiqi,Green Party Candidate,,,,,,Pending count,#02A95B,,,38.81,,,,11275,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Chadwell,Gary Peter Staight,Liberal Democrats,,,,,,Pending count,#FAA61A,,,38.81,,,,11275,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Chadwell,Sanjay Kumar Vijh,Conservative Party,,,,,,Pending count,#0087DC,,,38.81,,,,11275,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Churchfields,Nicola Cuthbert,Reform UK,,,,,,Pending count,#12B6CF,,,48.78,,,,10773,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Churchfields,Lloyd Jacob Duddridge,Labour Party,,,,,,Pending count,#E4003B,,,48.78,,,,10773,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Churchfields,Judith Anne Naomi Garfield,Labour Party,,,,,,Pending count,#E4003B,,,48.78,,,,10773,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Churchfields,Jillian Ghose,Independent,,,,,,Pending count,#A3A3A3,,,48.78,,,,10773,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Churchfields,Chrissie Gorman,Conservative Party,,,,,,Pending count,#0087DC,,,48.78,,,,10773,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Churchfields,Zohair Hassan,Conservative Party,,,,,,Pending count,#0087DC,,,48.78,,,,10773,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Churchfields,Heather Liddle,Liberal Democrats,,,,,,Pending count,#FAA61A,,,48.78,,,,10773,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Churchfields,John Long,Reform UK,,,,,,Pending count,#12B6CF,,,48.78,,,,10773,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Churchfields,Rita Mahli,Independent,,,,,,Pending count,#A3A3A3,,,48.78,,,,10773,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Churchfields,Guy Owen Mansfield Williams,Labour Party,,,,,,Pending count,#E4003B,,,48.78,,,,10773,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Churchfields,Samantha Quaresma-Cabral,Conservative Party,,,,,,Pending count,#0087DC,,,48.78,,,,10773,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Churchfields,Martin Ian Rosner,Liberal Democrats,,,,,,Pending count,#FAA61A,,,48.78,,,,10773,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Churchfields,Michael Helmut Teahan,Liberal Democrats,,,,,,Pending count,#FAA61A,,,48.78,,,,10773,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Churchfields,Helen Watson,Independent,,,,,,Pending count,#A3A3A3,,,48.78,,,,10773,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Churchfields,Alex Wilson,Reform UK,,,,,,Pending count,#12B6CF,,,48.78,,,,10773,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
2026,Redbridge,Clayhall,Krishen Bhardwaj,Redbridge Independents,,,,,,Pending count,#7C3AED,,,44.0,,,,10206,3,candidates_published_votes_pending,https://www.redbridge.gov.uk/voting-and-elections/local-election-results/
